cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000983,KCL-22,KCL22,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000984,HEC-6,HEC6,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,HEC6_ENDOMETRIUM
ACH-000985,LS411N,LS411N,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS411N_LARGE_INTESTINE
ACH-000986,HT115,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT115_LARGE_INTESTINE
ACH-000988,MFE-319,MFE319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,MFE319_ENDOMETRIUM
ACH-000991,SNU-81,SNU81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNU81_LARGE_INTESTINE
ACH-000993,JHUEM-7,JHUEM7,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,JHUEM7_ENDOMETRIUM
ACH-000994,HEC-59,HEC59,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC59_ENDOMETRIUM
ACH-000995,JURKAT,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000996,HEC-251,HEC251,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC251_ENDOMETRIUM
ACH-000997,HCT-15,HCT15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT15_LARGE_INTESTINE
ACH-001001,143B,143B,Bone,Osteosarcoma,Osteosarcoma,143B_BONE
ACH-001016,Becker,BECKER,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",BECKER_CENTRAL_NERVOUS_SYSTEM
ACH-001020,BT-16,BT16,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,BT16_SOFT_TISSUE
ACH-001021,C3A,C3A,Liver,Hepatoblastoma,Hepatoblastoma,C3A_LIVER
ACH-001028,CHLA-06-ATRT,CHLA06ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,CHLA06ATRT_SOFT_TISSUE
ACH-001029,CHLA-10,CHLA10,Bone,Ewing Sarcoma,Ewing Sarcoma,CHLA10_BONE
ACH-001031,CHLA-266,CHLA266,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,CHLA266_SOFT_TISSUE
ACH-001033,CHLA-57,CHLA57,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,CHLA57_BONE
ACH-001036,CMK-11-5,CMK115,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001038,COG-E-352,COGE352,Bone,Ewing Sarcoma,Ewing Sarcoma,COGE352_BONE
ACH-001041,CHL-1-DM,CHL1DM,Skin,Melanoma,Melanoma,CHL1DM_SKIN
ACH-001048,COV504,COV504,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,COV504_OVARY
ACH-001050,CW9019,CW9019,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,CW9019_SOFT_TISSUE
ACH-001053,D425,D425,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3",D425_CENTRAL_NERVOUS_SYSTEM
ACH-001054,D458,D458,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3",D458_CENTRAL_NERVOUS_SYSTEM
ACH-001061,DLD-1,DLD1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,DLD1_LARGE_INTESTINE
ACH-001067,F5,F5,CNS/Brain,Meningothelial Tumor,Meningioma,F5_CENTRAL_NERVOUS_SYSTEM
ACH-001075,NCI-H292,NCIH292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,NCIH292_LUNG
ACH-001096,JR,JR,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,JR_SOFT_TISSUE
ACH-001098,KCI-MOH1,KCIMOH1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KCIMOH1_PANCREAS
ACH-001099,KD,KD,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,KD_SOFT_TISSUE
ACH-001111,L82,L82,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001119,Mac-2A,MAC2A,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001128,MON,MON,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,MON_SOFT_TISSUE
ACH-001129,MONO-MAC-1,MONOMAC1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001134,MYLA,MYLA,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001145,OC 316,OC316,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OC316_OVARY
ACH-001151,OVCAR-5,OVCAR5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR5_OVARY
ACH-001163,CCLF_PEDS_0001_T,CCLFPEDS0001T,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,PEDS005TSUSP_KIDNEY
ACH-001164,CCLF_PEDS_0003_T,CCLFPEDS0003T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,CCLFPEDS0003T_SOFT_TISSUE
ACH-001172,U-251 MG DM,U251MGDM,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",U251MGDM_Brain
ACH-001183,RT112/84,RT11284,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,RT11284_URINARY_TRACT
ACH-001184,SCMC-RM2,SCMCRM2,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,SCMCRM2_SOFT_TISSUE
ACH-001188,SH-SY5Y,SHSY5Y,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SHSY5Y_AUTONOMIC_GANGLIA
ACH-001190,SK-MEL-2,SKMEL2,Skin,Melanoma,Melanoma,SKMEL2_SKIN
ACH-001192,SK-NEP-1,SKNEP1,Bone,Ewing Sarcoma,Ewing Sarcoma,SKNEP1_BONE
ACH-001193,SK-PN-DW,SKPNDW,Bone,Ewing Sarcoma,Ewing Sarcoma,SKPNDW_BONE
ACH-001194,SK-RC-31,SKRC31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,SKRC31_KIDNEY
ACH-001196,SMS-CTR,SMSCTR,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,SMSCTR_SOFT_TISSUE
ACH-001197,SMZ-1,SMZ1,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001205,TC-32,TC32,Bone,Ewing Sarcoma,Ewing Sarcoma,TC32_BONE
ACH-001211,TTC-549,TTC549,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,TTC549_SOFT_TISSUE
ACH-001227,UPCI-SCC-090,UPCISCC090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,UPCISCC090_UPPER_AERODIGESTIVE_TRACT
ACH-001228,UPCI-SCC-152,UPCISCC152,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,UPCISCC152_UPPER_AERODIGESTIVE_TRACT
ACH-001229,UPCI-SCC-154,UPCISCC154,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,UPCISCC154_UPPER_AERODIGESTIVE_TRACT
ACH-001232,UW228,UW228,CNS/Brain,Embryonal Tumor,"Medulloblastoma, NOS",UW228_CENTRAL_NERVOUS_SYSTEM
ACH-001239,WM-266-4,WM2664,Skin,Melanoma,Melanoma,WM2664_SKIN
ACH-001270,1273/99,127399,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,127399_SOFT_TISSUE
ACH-001274,SW982,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SW982_SOFT_TISSUE
ACH-001275,SYO-1,SYO1,Bone,Osteosarcoma,Osteosarcoma,SYO1_SOFT_TISSUE
ACH-001277,Yamato,YAMATO,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,YAMATO_SOFT_TISSUE
ACH-001278,BIN-67,BIN67,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,BIN67_OVARY
ACH-001279,SCCOHT-1,SCCOHT1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCOHT1_OVARY
ACH-001280,SCS-214,SCS214,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SCS214_SOFT_TISSUE
ACH-001283,TC-106,TC106,Bone,Ewing Sarcoma,Ewing Sarcoma,TC106_BONE
ACH-001289,COG-AR-359,COGAR359,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,COGAR359_SOFT_TISSUE
ACH-001295,Y-79,Y79,Eye,Retinoblastoma,Retinoblastoma,Y79_AUTONOMIC_GANGLIA
ACH-001300,CHLA-15,CHLA15,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHLA15_AUTONOMIC_GANGLIA
ACH-001301,COG-N-278,COGN278,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,COGN278_AUTONOMIC_GANGLIA
ACH-001302,COG-N-305,COGN305,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,COGN305_AUTONOMIC_GANGLIA
ACH-001303,NB-1643,NB1643,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NB1643_AUTONOMIC_GANGLIA
ACH-001306,8305C,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8305C_THYROID
ACH-001307,8505C,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,8505C_THYROID
ACH-001310,HA1E,HA1E,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,HA1E_KIDNEY
ACH-001318,PLC/PRF/5,PLCPRF5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,PLCPRF5_LIVER
ACH-001322,CME-1,CME1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,CME1_SOFT_TISSUE
ACH-001328,A-431,A431,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A431_SKIN
ACH-001329,ANGM-CSS,ANGMCSS,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",ANGMCSS_CENTRAL_NERVOUS_SYSTEM
ACH-001332,BICR 78,BICR78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR78_UPPER_AERODIGESTIVE_TRACT
ACH-001333,C-33 A,C33A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C33A_CERVIX
ACH-001334,C-4 I,C4I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C4I_CERVIX
ACH-001335,C-4 II,C4II,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,C4II_CERVIX
ACH-001336,Ca Ski,CASKI,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CASKI_CERVIX
ACH-001338,CHP-134,CHP134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHP134_AUTONOMIC_GANGLIA
ACH-001340,COV413A,COV413A,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,COV413A_OVARY
ACH-001341,DoTc2 4510,DOTC24510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,DOTC24510_CERVIX
ACH-001344,GI-ME-N,GIMEN,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,GIMEN_AUTONOMIC_GANGLIA
ACH-001345,GP5d,GP5D,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,GP5D_LARGE_INTESTINE
ACH-001346,H103,H103,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H103_UPPER_AERODIGESTIVE_TRACT
ACH-001347,H157,H157,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H157_UPPER_AERODIGESTIVE_TRACT
ACH-001349,HD-MB03,HDMB03,CNS/Brain,Embryonal Tumor,"Medulloblastoma, NOS",HDMB03_CENTRAL_NERVOUS_SYSTEM
ACH-001353,JOPACA-1,JOPACA1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,JOPACA1_PANCREAS
ACH-001354,LAN-2,LAN2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,LAN2_AUTONOMIC_GANGLIA
ACH-001356,MB-1,MB1,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,MB1_THYROID
ACH-001360,MS751,MS751,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,MS751_CERVIX
ACH-001366,NGP,NGP,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NGP_AUTONOMIC_GANGLIA
ACH-001367,NMB,NMB,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NMB_AUTONOMIC_GANGLIA
ACH-001368,OAC-M5.1,OACM51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OACM51_OESOPHAGUS
ACH-001370,OCI-P5x,OCIP5X,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OCIP5X_OVARY
ACH-001374,PA-1 [PA1],PA1,Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,Mixed Germ Cell Tumor,PA1_OVARY
ACH-001375,PACADD-119,PACADD119,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD119_PANCREAS
ACH-001376,PACADD-135,PACADD135,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD135_PANCREAS
ACH-001377,PACADD-137,PACADD137,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD137_PANCREAS
ACH-001379,PACADD-161,PACADD161,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD161_PANCREAS
ACH-001380,PACADD-165,PACADD165,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD165_PANCREAS
ACH-001382,PACADD-188,PACADD188,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PACADD188_PANCREAS
ACH-001385,RPMI 2650,RPMI2650,Head and Neck,"Head and Neck Carcinoma, Other",NUT Midline Carcinoma of the Head and Neck,RPMI2650_UPPER_AERODIGESTIVE_TRACT
ACH-001386,SCLC-22H,SCLC22H,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC22H_LUNG
ACH-001388,SUM-102PT,SUM102PT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SUM102PT_BREAST
ACH-001389,SUM-1315MO2,SUM1315MO2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SUM1315MO2_BREAST
ACH-001390,SUM-149PT,SUM149PT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SUM149PT_BREAST
ACH-001391,SUM-159PT,SUM159PT,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SUM159PT_BREAST
ACH-001392,SUM-185PE,SUM185PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SUM185PE_BREAST
ACH-001393,SUM-190PT,SUM190PT,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SUM190PT_BREAST
ACH-001394,SUM-229PE,SUM229PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SUM229PE_BREAST
ACH-001396,SUM-52PE,SUM52PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SUM52PE_BREAST
ACH-001398,SW 156,SW156,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,SW156_KIDNEY
ACH-001399,SW 626,SW626,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW626_LARGE_INTESTINE
ACH-001400,SW 954,SW954,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,SW954_CERVIX
ACH-001401,SW-13,SW13,Adrenal Gland,Adrenocortical Carcinoma,Adrenocortical Carcinoma,SW13_ADRENAL_CORTEX
ACH-001402,SW756,SW756,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SW756_CERVIX
ACH-001403,TO14,TO14,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,TO14_OVARY
ACH-001407,UM-UC-13,UMUC13,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC13_URINARY_TRACT
ACH-001408,UM-UC-14,UMUC14,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,UMUC14_URINARY_TRACT
ACH-001409,UM-UC-16,UMUC16,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC16_URINARY_TRACT
ACH-001411,UM-UC-5,UMUC5,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,Bladder Squamous Cell Carcinoma,UMUC5_URINARY_TRACT
ACH-001412,UM-UC-10,UMUC10,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC10_URINARY_TRACT
ACH-001413,UM-UC-11,UMUC11,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC11_URINARY_TRACT
ACH-001414,UM-UC-6,UMUC6,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC6_URINARY_TRACT
ACH-001415,UM-UC7,UMUC7,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC7_URINARY_TRACT
ACH-001416,UM-UC9,UMUC9,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC9_URINARY_TRACT
ACH-001418,UWB1.289,UWB1289,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,UWB1289_OVARY
ACH-001419,VP229,VP229,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,VP229_BREAST
ACH-001421,WERI-Rb-1,WERIRB1,Eye,Retinoblastoma,Retinoblastoma,WERIRB1_AUTONOMIC_GANGLIA
ACH-001422,WPE1-NA22,WPE1NA22,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",WPE1NA22_PROSTATE
ACH-001428,CCLF_PEDS_0010_T,CCLFPEDS0010T,Bone,Ewing Sarcoma,Ewing Sarcoma,CCLFPEDS0010T_BONE
ACH-001430,TC-138,TC138,Bone,Ewing Sarcoma,Ewing Sarcoma,TC138_BONE
ACH-001431,TC-205,TC205,Bone,Ewing Sarcoma,Ewing Sarcoma,TC205_BONE
ACH-001433,CCLF_PEDS_0008_T,CCLFPEDS0008T,Soft Tissue,Epithelioid Sarcoma,Epithelioid Sarcoma,CCLFPEDS0008T_SOFT_TISSUE
ACH-001442,A388,A388,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,A388_SKIN
ACH-001443,ASH-3,ASH3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,ASH3_THYROID
ACH-001450,BLUE-1,BLUE1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001451,BOKU,BOKU,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,BOKU_CERVIX
ACH-001453,BPH-1,BPH1,Prostate,Non-Cancerous,"Hyperplasia, Prostate",BPH1_PROSTATE
ACH-001454,C10,C10,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C10_LARGE_INTESTINE
ACH-001458,C75,C75,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C75_LARGE_INTESTINE
ACH-001459,C80,C80,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,C80_LARGE_INTESTINE
ACH-001460,C84,C84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C84_LARGE_INTESTINE
ACH-001461,C99,C99,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,C99_LARGE_INTESTINE
ACH-001465,CHLA-136,CHLA136,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHLA136_AUTONOMIC_GANGLIA
ACH-001481,CHLA-90,CHLA90,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHLA90_AUTONOMIC_GANGLIA
ACH-001484,CI,CI,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,CI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001494,EGI-1,EGI1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,EGI1_BILIARY_TRACT
ACH-001495,EMTOKA,EMTOKA,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,EMTOKA_ENDOMETRIUM
ACH-001496,ESO26,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenocarcinoma of the Gastroesophageal Junction,ESO26_OESOPHAGUS
ACH-001497,ESO51,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESO51_OESOPHAGUS
ACH-001498,Farage,FARAGE,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001500,FLO-1,FLO1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,FLO1_OESOPHAGUS
ACH-001502,GCT-27,GCT27,Testis,Non-Seminomatous Germ Cell Tumor,Teratoma,GCT27_TESTIS
ACH-001508,H314,H314,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H314_UPPER_AERODIGESTIVE_TRACT
ACH-001509,H357,H357,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H357_UPPER_AERODIGESTIVE_TRACT
ACH-001510,H376,H376,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H376_UPPER_AERODIGESTIVE_TRACT
ACH-001511,H413,H413,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,H413_UPPER_AERODIGESTIVE_TRACT
ACH-001513,HCA-1,HCA1,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,HCA1_CERVIX
ACH-001515,HCS-2,HCS2,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,HCS2_CERVIX
ACH-001517,HEC-1,HEC1,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC1_ENDOMETRIUM
ACH-001518,HEC-116,HEC116,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC116_ENDOMETRIUM
ACH-001520,HG-3,HG3,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",HG3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001521,HKA-1,HKA1,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,HKA1_SKIN
ACH-001522,HMY-1,HMY1,Skin,Melanoma,Melanoma,HMY1_SKIN
ACH-001523,HSC-1,HSC1,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,HSC1_SKIN
ACH-001524,HSC-5,HSC5,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,HSC5_SKIN
ACH-001525,HT-3,HT3,Cervix,Cervical Adenocarcinoma,Cervical Adenocarcinoma,HT3_CERVIX
ACH-001526,HuO9,HUO9,Bone,Osteosarcoma,Osteosarcoma,HUO9_BONE
ACH-001528,IHH-4,IHH4,Thyroid,Well-Differentiated Thyroid Cancer,Papillary Thyroid Cancer,IHH4_THYROID
ACH-001529,JAR,JAR,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,JAR_PLACENTA
ACH-001530,JEG-3,JEG3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,JEG3_PLACENTA
ACH-001532,JMU-RTK-2,JMURTK2,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,JMURTK2_SOFT_TISSUE
ACH-001533,KARPAS 1718,KARPAS1718,Lymphoid,Mature B-Cell Neoplasms,Splenic Marginal Zone Lymphoma,KARPAS1718_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001536,KKU-100,KKU100,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,KKU100_BILIARY_TRACT
ACH-001538,KKU-213,KKU213,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,KKU213_BILIARY_TRACT
ACH-001539,KML-1,KML1,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,KML1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-001542,KON,KON,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,KON_UPPER_AERODIGESTIVE_TRACT
ACH-001543,KOSC-2,KOSC2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT
ACH-001547,LO68,LO68,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",LO68_LUNG
ACH-001548,LS,LS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,LS_AUTONOMIC_GANGLIA
ACH-001549,Lu-135,LU135,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,LU135_LUNG
ACH-001550,MCC13,MCC13,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC13_SKIN
ACH-001551,MCC14/2,MCC142,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC142_SKIN
ACH-001552,MCC26,MCC26,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC26_SKIN
ACH-001554,mel-202,MEL202,Eye,Ocular Melanoma,Uveal Melanoma,MEL202_UVEA
