cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000316,SNU-886,SNU886,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU886_LIVER
ACH-000317,TUHR14TKB,TUHR14TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,TUHR14TKB_KIDNEY
ACH-000318,TE-10,TE10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE10_OESOPHAGUS
ACH-000319,MPP 89,MPP89,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",MPP89_PLEURA
ACH-000320,PSN1,PSN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PSN1_PANCREAS
ACH-000322,HT-144,HT144,Skin,Melanoma,Melanoma,HT144_SKIN
ACH-000323,42-MG-BA,42MGBA,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",42MGBA_CENTRAL_NERVOUS_SYSTEM
ACH-000324,JHOC-5,JHOC5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,JHOC5_OVARY
ACH-000325,SNU-620,SNU620,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU620_STOMACH
ACH-000326,JURL-MK1,JURLMK1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000329,CCF-STTG1,CCFSTTG1,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
ACH-000330,EFM-19,EFM19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,EFM19_BREAST
ACH-000331,IST-MES2,ISTMES2,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",ISTMES2_PLEURA
ACH-000332,YAPC,YAPC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,YAPC_PANCREAS
ACH-000334,DB,DB,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000335,MSTO-211H,MSTO211H,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",MSTO211H_PLEURA
ACH-000336,OCI-AML3,OCIAML3,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000337,NCI-H3122,NCIH3122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH3122_LUNG
ACH-000338,SR-786,SR786,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000339,HCC-461,HCC461,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC461_LUNG
ACH-000341,SK-N-FI,SKNFI,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNFI_AUTONOMIC_GANGLIA
ACH-000343,NCI-H522,NCIH522,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH522_LUNG
ACH-000344,SNU-668,SNU668,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,SNU668_STOMACH
ACH-000345,KP-N-RT-BM-1,KPNRTBM1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KPNRTBM1_AUTONOMIC_GANGLIA
