gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
NARS2,6,1,Matrix,1.1365
RPUSD3,7,1,Matrix,1.0778
SUOX,5|10,2,IMS,1.0074
SARDH,5,1,Matrix,0.906
RIDA,5,1,Matrix,1.2197
COX8A,2,1,MIM,1.1318
SPR,5,1,unknown,1.3771
MPV17,2,1,MIM,1.3295
MRPL18,6,1,Matrix,0.9737
ALDH1B1,10,1,Matrix,1.0079
CHCHD1,6,1,MIM,1.2104
TIMM8A,8,1,MIM,1.584
VDAC3,12,1,MOM,1.584
SLC25A24,9|13,2,MIM,1.2925
MPC1,3,1,MIM,1.584
SLC25A22,9,1,MIM,1.2925
SLC25A31,9|12,2,MIM,1.2925
SLC25A18,9,1,MIM,1.2925
TRNT1,7,1,Matrix,1.0398
IDE,8,1,Matrix,1.2737
GSTK1,10,1,Matrix,1.6013
VARS2,6,1,Matrix,0.9996
HSPE1,8,1,Matrix,1.3586
MRPL54,6,1,Matrix,1.3389
MRPL38,6,1,Matrix,1.1669
MRPL58,6,1,Matrix,0.8198
MTCH1,9,1,MOM,1.1848
TRIAP1,4,1,IMS,1.1421
PTCD3,6,1,Matrix,1.056
COX10,2|5,2,MIM,1.8278
AKAP1,13,1,MOM,1.2436
MRM3,6|7,2,Matrix,0.96
AK2,10,1,IMS,1.5431
TMEM70,0|2,2,MIM,1.5418
NOA1,6|7,2,MIM,0.9435
MCUR1,2,1,MIM,1.584
TMEM14C,2,1,MIM,1.1088
NDUFC1,0,1,MIM,1.1443
MRPL35,6,1,Matrix,1.1189
NDUFA3,0,1,MIM,1.3024
PDSS1,5,1,MIM,1.0778
SLC25A16,9,1,MIM,1.2989
FMC1,2,1,Matrix,1.0656
ACSM3,4,1,Matrix,0.8634
NDUFAF6,0,1,MIM,1.2096
UCP1,9,1,MIM,1.225
SFXN1,5|9,2,MIM,1.3789
GLRX5,5,1,Matrix,1.2333
PTRH1,5,1,Matrix,1.1708
MRPS11,6,1,Matrix,0.9226
XPNPEP3,8,1,Matrix,1.446
PDP1,3,1,MIM,0.9331
ECI1,4,1,Matrix,1.0977
SLC25A21,9,1,MIM,1.452
SLC25A29,5|9,2,MIM,1.1848
SLC25A45,9,1,MIM,1.1848
SDHAF3,1,1,Matrix,1.2672
PRELID3B,4,1,IMS,1.32
SLC25A39,9,1,MIM,1.2778
NDUFB3,0,1,MIM,1.4045
REXO2,7,1,Matrix,0.9907
GATM,5,1,Matrix,1.0575
TIMM10B,8,1,MIM,1.2081
SARS2,6,1,Matrix,1.0092
CHDH,5|10,2,MIM,0.8427
MRPL57,6,1,Matrix,0.9979
C8orf82,5,1,Matrix,1.1578
EARS2,6,1,Matrix,1.0582
GRHPR,5,1,Matrix,1.1689
MTFMT,5|6,2,Matrix,0.9493
PTCD2,7,1,Matrix,1.1933
ECHDC1,5,1,unknown,1.1576
HARS2,6,1,Matrix,0.9902
NDUFA4,2,1,MIM,1.4818
NDUFA13,0,1,MIM,1.4112
NAXE,5,1,Matrix,0.9605
TMEM11,2,1,MIM,1.0848
SELENOO,10,1,Matrix,0.945
NAGS,5,1,Matrix,1.1981
HSD17B4,5,1,unknown,1.2773
NDUFAF7,0,1,MIM,1.2034
OAT,5,1,Matrix,0.8548
MRPL50,6,1,Matrix,1.3056
COX7B,2,1,MIM,1.134
RARS2,6,1,Matrix,1.3831
OXLD1,5,1,unknown,1.5125
LACTB2,7,1,Matrix,1.2128
NDUFA11,0,1,MIM,1.175
AURKAIP1,6,1,Matrix,1.2519
CHCHD7,5,1,IMS,1.2696
SHMT2,5,1,Matrix,0.97
MTHFD2,5,1,Matrix,0.9341
RMDN1,12,1,MOM,0.7488
CPS1,5,1,Matrix,1.286
MRPL14,6,1,Matrix,1.0614
MTRES1,7,1,Matrix,1.1844
RDH13,5,1,MIM,0.9979
TRMT2B,7,1,Matrix,1.0638
MRPS24,6,1,Matrix,1.2936
COA3,2|6,2,MIM,1.2883
GSR,10,1,Matrix,0.9808
ENDOG,7|12,2,IMS,1.3777
BCAT2,5,1,Matrix,1.0977
TEFM,7,1,Matrix,1.168
ACSF2,4,1,Matrix,0.9979
TRMU,7,1,Matrix,1.3412
MRPS22,6,1,Matrix,1.2192
LAP3,8,1,Matrix,0.8516
GLUD1,5,1,Matrix,1.3705
HMGCL,4|5,2,Matrix,0.7762
FHIT,5,1,Matrix,1.4322
MRPS33,6,1,Matrix,1.188
NUBPL,0|5,2,Matrix,1.3241
LYRM2,0,1,Matrix,0.8141
MPV17L,2,1,MIM,1.0469
GADD45GIP1,6,1,Matrix,1.0613
TFAM,7,1,Matrix,0.8565
