cell_line_id,perturbation_gene,delta_00,delta_01,delta_02,delta_03,delta_04,delta_05,delta_06,delta_07,delta_08,delta_09,delta_10,delta_11,delta_12,delta_13
ACH-000007,LAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002870184482890775,0.0,0.0,0.0,0.0,0.0
ACH-000007,NDUFAF7,0.012204736118262392,0.0,-2.6906093517442287,0.0,0.0,0.0,0.0,-2.517403019217454,0.0,0.0,0.0,-1.8460217907473293,-2.1764625125283033,-1.3396823722239048
ACH-000007,ARF5,0.0,1.3396823722238764,0.0,1.8084854872762435,2.619341175103642,-0.0037553803095023495,0.0,0.0,2.241196198632167,2.3974009489886896,2.3045874000113713,0.0,0.0,0.0
ACH-000007,POLDIP2,0.0,0.0,-2.6906093517442287,0.0,0.0,0.0,0.0,27.88035105895545,0.0,0.0,0.0,-1.8460217907473293,-2.1764625125283033,-1.3396823722239048
ACH-000007,AK2,0.0,1.3396823722238764,0.0,1.8084854872762435,2.619341175103642,0.0,0.0,0.0,2.241196198632167,2.3974009489886896,-30.435987369971542,0.0,0.0,0.0
ACH-000007,NDUFAB1,-0.00027286723027289904,0.0,0.0,0.0,-0.0006874131205464293,-0.0003413819215646356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000007,PDK4,0.0,0.0,0.0,0.017837267699225667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3396823722239048
ACH-000007,SLC25A13,0.0,1.3396823722238764,0.0,-17.949506014760157,2.619341175103642,-0.0005648713409623269,0.0,0.0,2.241196198632167,-29.275369492919687,2.3045874000113713,0.0,0.0,-0.014611027435338254
ACH-000007,HCCS,0.0,0.0,-2.6906093517442287,0.0,0.0,-0.007383422816032412,0.0,-2.517403019217454,0.0,0.0,0.0,-1.8460217907473293,-2.1764625125283033,-1.3396823722239048
ACH-000007,SLC25A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006070050698493023,0.0,0.0,8.22172381921954e-05,0.0
ACH-000007,MCUB,0.0,0.0,-2.6906093517442287,0.0,0.0,0.0,0.0,-2.517403019217454,0.0,0.017111976931590552,0.0,-1.8460217907473293,-2.1764625125283033,52.41455694158889
ACH-000007,LIG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006386275050795405,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000007,ACSM3,2.093458523675622,1.3396823722238764,0.0,1.8084854872762435,-26.894732025440252,5.543925976857508,323.3148707774791,0.0,2.241196198632167,2.3974009489886896,2.3045874000113713,0.0,0.0,0.0
ACH-000007,CROT,0.0,0.0,-2.6906093517442287,0.0,0.01124315083619279,0.0,0.0,-2.517403019217454,0.0,0.0,0.0,-1.8460217907473293,-2.1764625125283033,-1.3396823722239048
ACH-000007,PDK2,0.0,0.0,0.0,0.006567073711307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000007,SPATA20,0.0,1.3396823722238764,0.0,0.0,0.0,-0.001976687783178114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000007,AGK,0.0,0.0,0.0,0.0,-0.012516531989935837,0.0,0.0,0.0,-0.004088957689300707,0.0,0.0,0.0,-2.1764625125283033,-1.3396823722239048
ACH-000007,COX10,2.093458523675622,1.3396823722238764,0.010172324560142658,1.8084854872762435,2.619341175103642,-12.640454623209692,323.3148707774791,0.0,2.241196198632167,2.3974009489886896,2.3045874000113713,0.0,0.0,0.0
ACH-000007,ELAC2,0.0,1.3396823722238764,0.0,0.0,0.0,0.0,0.0,-0.0048985122555675435,0.0,2.3974009489886896,0.0,0.0,0.0,0.0
ACH-000009,BAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8460217907473577,0.014786369055809902,-1.3396823722239333
ACH-000009,LAP3,0.0,1.3396823722239333,0.0,0.0,0.0,0.0,3.2130670387823557,2.517403019217454,-31.303737192275786,0.0,0.0,0.0,2.1764625125283033,0.0
ACH-000009,NDUFAF7,-33.54350618360784,1.3396823722239333,2.6906093517442287,1.8084854872761866,2.619341175103642,5.543925976857565,3.2130670387823557,2.517403019217454,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
ACH-000009,ARF5,2.093458523675622,1.3396823722239333,2.6906093517442287,1.8084854872761866,2.619341175103642,-0.00777751863308484,3.2130670387823557,2.517403019217454,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
ACH-000009,POLDIP2,2.093458523675622,1.3396823722239333,2.6906093517442287,1.8084854872761866,2.619341175103642,5.543925976857565,3.2130670387823557,-27.877197706164587,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
ACH-000009,AK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.397400948988718,-0.03266472009498331,-1.8460217907473577,0.0,-1.3396823722239333
ACH-000009,NDUFAB1,-0.0020932943378478472,0.0,0.0,0.0,-0.005273473079061324,-0.0026189031300686916,0.0,0.0,0.0,0.0,0.0,-1.8460217907473577,0.0,-1.3396823722239333
