,SPCA_00,SPCA_01,SPCA_02,SPCA_03,SPCA_04,SPCA_05,SPCA_06,SPCA_07,SPCA_08,SPCA_09,SPCA_10,SPCA_11,SPCA_12,SPCA_13
ACH-000132,-0.35813209333810386,-1.2870296901941365,-3.019017315317461,1.7668525083335866,1.8981640700298412,2.1522104772315385,-3.112324064333701,-2.6224784992593855,-0.7687844938535064,-0.6263482113802725,0.4264804063083169,1.0002076460351097,2.6964870873442233,-0.38301034390080196
ACH-000133,-2.3140758881094343,0.6270616097212085,-0.2611259246638767,0.6416904748081079,1.0550882344875752,0.1630534568164983,2.5559811307591382,2.258454598785294,2.576465791313717,-1.9842377367488955,-1.6886927098657118,-1.1069489867947802,-0.1958351569861608,-0.3826300696985321
ACH-000137,-0.7780551031396381,0.39079372286001923,0.10555451196107773,0.941400062021972,2.0416234426832878,2.0938551070335505,2.5528429827056667,1.687260283362168,-0.8957885078517233,-1.1418993714141124,-1.411349334903575,-1.1046253592932813,0.4246397107698986,-1.188608669401952
ACH-000138,5.451085585857235,0.8818066963168871,5.2226062782390725,3.0318760214051435,4.337684828484842,7.0755141011720175,0.027912907722956404,0.3923760195903126,-2.25723669568626,-3.8918134428402134,4.021366596260052,-0.015663229147682645,4.369007779969573,-3.467068290354036
ACH-000139,6.209675609731656,3.243849315042855,5.665215995447986,2.7883702655847893,4.083369481169824,5.924922158535439,1.5515481485995766,2.442573032389003,0.7704312467859089,-2.7829526691517192,3.916162915176224,-0.7943973912432802,3.9118648895902983,-1.794786308528702
ACH-000141,1.072217797221227,0.2309963330452242,1.8697081814574041,0.10198930726623393,2.22783858293765,3.3735910303051693,3.5254093572568275,2.1301549789004772,1.8687783528693986,-1.363063814472474,2.264564266751837,-3.2041356853997427,1.4207490387521506,-1.8451015376680542
ACH-000142,3.918177110089697,1.383165871335331,4.39295110876583,1.8770592717138421,3.6950913266110907,5.5743474312816685,1.2077872254926858,2.0073399959037874,-0.6065643923465359,-2.366210158034986,3.3842110780944172,-2.5542550718210593,2.9069460426900124,-1.9567680666341443
ACH-000143,-0.021546917747839976,0.021450478601699796,-0.11467249117326057,-1.1579172730186318,-1.2200295157166046,-1.5874901423180003,1.534190487090735,0.5335889963413842,0.49634347665020817,1.3334644723759226,0.06547633287020059,-2.043817291070967,-1.7069549668885067,-0.490984266307578
ACH-000144,1.3648663531307639,0.4221409682939542,2.5883441975832984,0.878966813658263,1.594028385857257,4.93671790278903,4.887846104710782,4.014065982744322,1.936241978656807,-0.03673408680855769,1.7960917044906721,-1.9705657085689448,-0.046460152035343205,-0.5814666670573229
ACH-000145,-1.5059574700368348,0.2697368405091985,0.2881190080529167,1.9698778530277838,0.7003299531294136,0.5259862776626719,1.684442662116274,1.0657440130460867,1.7843204537005277,-1.460831840869582,-1.6819141806453386,0.5024081581243258,-0.9862595321166913,-1.0239170051508508
ACH-000146,0.12092218608874174,0.49117559302401326,-0.8465749948214759,0.6266845685731711,0.22259533374245472,0.6944266078662538,4.531099270903208,3.324164479260645,2.499869855648683,1.3800616126384735,-1.3666271154791243,-1.5738362448400438,-0.18610101693081854,-1.86212597772181
ACH-000147,2.580826390809035,1.334154837816936,2.955196924261938,0.2836434510618935,2.7296674291592296,7.160746312806514,1.8527285107510068,0.7945884199054529,-0.23842673203470133,-0.36751484594804695,1.3336680697849133,-2.200461047205024,0.770592024586106,0.005591454732400636
ACH-000148,1.4955100884135104,0.6954210236830147,1.6011483119994947,-0.171819643329377,0.5790514946012769,-0.5593307316480409,2.541063222481071,4.06120230510881,1.110950123523065,-3.261098177739761,-2.7756172649050033,-0.32797079886189034,0.8412420521182967,-0.5651796124515093
ACH-000149,1.0732703501538636,0.4949530303453915,0.753119791269219,0.8038272107665259,-0.8337913731038614,-1.0850966706040035,3.3187807088142858,1.1437421148090503,0.2897791565157888,1.7384825135691924,-0.1270551770816009,-0.21755777440623109,-2.164172835423157,0.13473532889377676
ACH-000151,-0.7974520399263072,-0.06622242814826168,-1.470182279370357,-2.189773626039446,-2.969355651252124,-4.50974000245313,3.864759171281536,3.220529608829351,0.8606243513545133,5.044675510994504,-3.7506272095539877,-2.177326721921804,-2.844038400919885,0.7577130770198355
ACH-000152,0.026084951401478144,0.5004654050630188,1.4521909594883298,-0.44356326500750953,-0.27019729829157557,-0.042292983922777326,4.199944250226448,1.0681600771385535,1.435798169547178,-0.47932669760423596,-1.945831451670155,-0.40755216792343035,0.37229743121338443,-1.1159636421339791
ACH-000153,-2.3369354916884353,-1.416600208111478,-2.5711339755013456,0.730289393234855,0.2869847417671118,-1.7128986198912115,1.7245618241738176,0.13994063390860723,0.7436364006044263,-2.087783484161232,-1.3230040370217913,0.7893184963472274,0.9936277360463156,-1.221018941354192
ACH-000155,-1.4000897767556215,-0.12031102065661436,-0.9001826816609616,0.8937454053522368,2.004756615581649,1.1510301924618882,-0.07678397446837089,0.6023146467483695,1.5017528942998146,-1.4586149317338306,-0.06446552230518414,-1.4714784604782,2.517126674207912,-0.18128662933825174
ACH-000159,2.944865933901072,1.4640037563462454,1.9732399085050354,0.5690881562449439,3.082208772139803,4.384383257234019,3.4054187487651646,3.3631131879305785,0.18996301200606155,-2.7726683075874576,0.7742737476003136,-1.5268948439015384,0.8149080672989236,-2.358437728728643
ACH-000160,1.2138464328920249,-0.43213925755808125,-0.5262874926380382,-2.4826569183726783,-2.469019911688603,-1.7782215088772628,1.5646093608770189,1.1427982679266715,0.6729499774127783,1.7646690097033775,-0.259603861591244,-1.2660792732168789,-1.029518707815662,2.8679091309486267
ACH-000161,2.605271664978223,2.3903678630533722,2.746064047552174,1.9328949250366503,1.301702630732334,3.8350992796558128,3.8192591700003673,1.318553163942381,1.3806491646322776,-1.352989831747893,2.170070042888634,-0.223096146866988,0.49417374936979624,-0.781505954053695
ACH-000163,0.04996427171164123,1.0507019852088284,0.6696167127301794,0.7821170360909564,0.0090284482112186,-1.3939031760315101,2.559865460373037,1.9645911938216163,2.9890604542241475,-1.8126043190416645,-2.071411859633855,-2.0587589191096187,-0.38984844026592375,-0.04077113066695122
ACH-000164,-0.751316093241452,-0.6885831464452992,-0.4033850466099373,0.45627091134952336,0.11982395607940033,-1.5930369968728588,3.089054663195925,2.267306532182994,2.5092848496384565,-1.117280416634879,-1.5440797656081906,-2.0182437866315883,1.2877891000453887,-0.3208057344767393
